DateTime,Open,High,Low,Close,EMA21,EMA75,EMA150,StochD
03/15/2023 22:00:00,14701.00,14720.00,14688.25,14705.25,14607.56,14521.70,14527.50,94.18
03/15/2023 23:00:00,14705.25,14710.25,14682.50,14697.75,14615.76,14526.33,14529.75,94.86
03/16/2023 00:00:00,14697.50,14718.00,14697.25,14715.75,14624.85,14531.32,14532.22,94.40
03/16/2023 01:00:00,14715.00,14716.75,14694.75,14699.00,14631.59,14535.73,14534.42,93.73
03/16/2023 02:00:00,14699.25,14705.25,14666.75,14672.75,14635.33,14539.34,14536.26,92.87
03/16/2023 03:00:00,14672.75,14722.75,14656.25,14712.50,14642.35,14543.89,14538.59,91.89
03/16/2023 04:00:00,14711.75,14725.25,14678.00,14686.00,14646.32,14547.63,14540.54,91.06
03/16/2023 05:00:00,14685.25,14695.75,14643.25,14670.50,14648.51,14550.87,14542.26,90.20
03/16/2023 06:00:00,14670.75,14688.25,14654.50,14684.50,14651.79,14554.38,14544.15,89.39
03/16/2023 07:00:00,14684.50,14698.25,14647.75,14679.75,14654.33,14557.68,14545.94,88.30
03/16/2023 08:00:00,14680.50,14696.25,14620.75,14642.00,14653.21,14559.90,14547.22,86.88
03/16/2023 09:00:00,14641.50,14686.50,14582.25,14685.25,14656.12,14563.20,14549.05,85.72
03/16/2023 10:00:00,14685.00,14804.25,14631.25,14787.00,14668.02,14569.09,14552.20,85.11
03/16/2023 11:00:00,14787.50,14934.00,14768.50,14912.25,14690.22,14578.12,14556.97,85.67
03/16/2023 12:00:00,14912.50,14953.00,14857.50,14941.75,14713.09,14587.69,14562.06,86.83
03/16/2023 13:00:00,14942.00,14955.75,14901.50,14930.75,14732.87,14596.72,14566.95,88.33
03/16/2023 14:00:00,14931.25,14961.25,14904.00,14957.00,14753.25,14606.20,14572.11,90.10
03/16/2023 15:00:00,14957.50,15002.25,14950.75,14983.75,14774.20,14616.13,14577.56,92.18
03/16/2023 16:00:00,14985.00,14994.25,14964.25,14979.75,14792.89,14625.70,14582.89,94.29
03/16/2023 18:00:00,14978.50,14987.75,14962.00,14985.25,14810.38,14635.16,14588.22,95.76
03/16/2023 19:00:00,14985.50,14998.75,14982.75,14991.75,14826.87,14644.55,14593.57,96.31
03/16/2023 20:00:00,14991.25,14994.00,14970.50,14975.75,14840.40,14653.26,14598.63,96.23
03/16/2023 21:00:00,14975.75,14985.25,14970.50,14978.75,14852.98,14661.83,14603.66,96.10
03/16/2023 22:00:00,14978.50,14988.00,14973.75,14977.75,14864.32,14670.14,14608.62,95.65
03/16/2023 23:00:00,14977.25,14992.25,14975.75,14988.25,14875.59,14678.51,14613.64,95.43
03/17/2023 00:00:00,14988.75,15012.25,14987.75,15005.50,14887.40,14687.12,14618.84,95.43
03/17/2023 01:00:00,15006.25,15016.50,15000.25,15008.25,14898.38,14695.57,14623.99,95.75
03/17/2023 02:00:00,15008.75,15033.50,14996.50,15032.00,14910.53,14704.42,14629.40,96.14
03/17/2023 03:00:00,15031.75,15036.00,15002.50,15007.75,14919.37,14712.41,14634.41,96.35
03/17/2023 04:00:00,15008.50,15026.25,14985.25,14994.00,14926.15,14719.82,14639.17,96.28
03/17/2023 05:00:00,14995.00,15011.25,14976.50,14998.75,14932.75,14727.16,14643.93,96.00
03/17/2023 06:00:00,14998.75,15003.50,14977.50,14989.25,14937.89,14734.05,14648.51,95.38
03/17/2023 07:00:00,14989.00,15008.00,14967.00,15004.75,14943.97,14741.18,14653.23,94.68
03/17/2023 08:00:00,15004.25,15012.75,14928.25,14945.75,14944.13,14746.56,14657.10,93.24
03/17/2023 09:00:00,14946.25,15032.00,14944.75,15014.75,14950.55,14753.62,14661.84,91.92
03/17/2023 10:00:00,15016.50,15078.25,14873.75,14911.25,14946.98,14757.77,14665.14,89.37
03/17/2023 11:00:00,14911.50,14936.00,14837.25,14883.00,14941.16,14761.06,14668.03,85.12
03/17/2023 12:00:00,14883.50,14950.25,14873.00,14904.50,14937.83,14764.84,14671.16,78.04
03/17/2023 13:00:00,14904.75,14962.25,14902.50,14947.75,14938.73,14769.65,14674.82,70.35
03/17/2023 14:00:00,14947.75,14967.75,14851.75,14888.50,14934.16,14772.78,14677.65,61.80
03/17/2023 15:00:00,14889.00,14935.75,14871.50,14916.00,14932.51,14776.55,14680.81,54.03
03/17/2023 16:00:00,14915.75,14940.00,14911.00,14918.00,14931.19,14780.27,14683.95,45.40
03/18/2023 12:00:00,14918.00,14918.00,14918.00,14918.00,14929.99,14783.89,14687.05,38.81
03/18/2023 21:00:00,14918.00,14918.00,14918.00,14918.00,14928.90,14787.42,14690.11,34.32
03/18/2023 23:00:00,14918.00,14918.00,14918.00,14918.00,14927.91,14790.86,14693.13,33.03
03/19/2023 03:00:00,14918.00,14918.00,14918.00,14918.00,14927.01,14794.20,14696.11,32.55
